CourseNo,Language,TitleEN,TitleJA,Schedule,Classroom,Mode,Instructor,Credits,Links
HPE016,,Beginning Self Testing Activities RELAXATION YOGA,初級個人試技活動,2/TH,,Face to Face,"HIRATA, Tomoko",1/3,
HPE016,,Beginning Self Testing Activities ROPE CLIMBING,初級個人試技活動,4/M,,Face to Face,"HIGASHIYAMA, Masao",1/3,
HPE021,,Beginning Rhythms and Dance NIPPON MINZOKU BUYO,初級リズムダンス,3/F,,Face to Face,"YOSHINO, Yufuko",1/3,
HPE021,,Beginning Rhythms and Dance NIPPON MINZOKU BUYO,初級リズムダンス,2/F,,Face to Face,"YOSHINO, Yufuko",1/3,
HPE021,,Beginning Rhythms and Dance SOCIAL DANCE,初級リズムダンス,2/TU,,Face to Face,"KAMATSUKA, Masanori",1/3,
HPE021,,Beginning Rhythms and Dance SOCIAL DANCE,初級リズムダンス,3/TU,,Face to Face,"KAMATSUKA, Masanori",1/3,
HPE021,,Beginning Rhythms and Dance CREATIVE WADAIKO,初級リズムダンス,3/TU,,Face to Face,"SENDA, Tetsushi",1/3,
HPE021,,Beginning Rhythms and Dance TRADITIONAL WADAIKO,初級リズムダンス,2/TU,,Face to Face,"SENDA, Tetsushi",1/3,
HPE021,,Beginning Rhythms and Dance HIP HOP,初級リズムダンス,2/W,,Face to Face,"KASAI, Hiromi",1/3,
HPE021,,Beginning Rhythms and Dance JAZZ DANCE,初級リズムダンス,3/W,,Face to Face,"KASAI, Hiromi",1/3,
HPE023,,Organized Games and Crafts RECREATION SPORTS,ゲームとクラフト,3/F,,Face to Face,"HASEGAWA, Ken",1/3,
HPE024,,Adapted Physical Education ADAPTED P.E.,アダプテッド体育,,,Face to Face,"YAMAUCHI, Hiroshi/HIGASHIYAMA, Masao/SATO, Kaori/HASEGAWA, Ken/GORAI, Asuka",1/3,
WAB101,O,Arabic I,アラビア語 I,"5/W,6/W,7/W,5/F,6/F,7/F",H-375,Face to Face,"KINOSHITA, Sotoku/ABUSINNA, Neama Emam Mohamed",4,
WCN101,O,Chinese I,中国語 I,"5/M,6/M,7/M,5/TH,6/TH,7/TH",I-104,Face to Face,"KAWASHIMA, Mai/ZHAN, Haiyan",4,
WCN101,O,Chinese I,中国語 I,"1/TU,2/TU,3/TU,1/TH,2/TH,3/TH",I-103,Face to Face,"ZHAN, Haiyan/SAWADA, Narimi",4,
WCN101,O,Chinese I,中国語 I,"1/TU,2/TU,3/TU,1/TH,2/TH,3/TH","I-102,I-104",Face to Face,"QI, Hong/SHI, Huimei",4,
WCN101,O,Chinese I,中国語 I,"5/TU,6/TU,7/TU,5/TH,6/TH,7/TH","I-102,I-104",Face to Face,"QI, Hong/KAWASHIMA, Mai",4,
WCN201,O,Advanced Chinese I,上級中国語 I,"1/TH,2/TH,3/TH",I-104,Face to Face,"QI, Hong",3,
WFR101,O,French I,フランス語 I,"*4/W,*5/W,*4/F,*5/F",H-351,Face to Face,"DAIZEN, Mariko/BELEC, Cedric",4,
WFR101,O,French I,フランス語 I,"*4/M,*5/M,*4/TH,*5/TH",H-307,Face to Face,"BUREAU, Xavier/BELEC, Cedric",4,
WFR101,O,French I,フランス語 I,"1/TU,2/TU,3/TU,1/TH,2/TH,3/TH",H-105,Face to Face,"DAIZEN, Mariko/PIRIOU, Vincent N.",4,
WFR101,O,French I,フランス語 I,"5/M,6/M,7/M,5/TH,6/TH,7/TH",H-351,Face to Face,"SHIRAISHI, Yoshiharu/BUREAU, Xavier",4,
WFR202,O,Advanced French I,上級フランス語I,"5/W,6/W,7/W",H-105,Face to Face,"BELEC, Cedric",3,
WFR202,O,Advanced French I,上級フランス語I,"5/F,6/F,7/F",H-105,Face to Face,"DONATI, Jean-Alexis",3,
